hours	outs	dppm
06:30	13049	536
07:30	5766	1731
08:30	12533	558
09:30	5332	1311
10:30	0	0
11:30	0	0
12:30	0	0
13:30	0	0
14:30	0	0
15:30	0	0
16:30	0	0
17:30	0	0
