hours,outs,dppm
2017-08-24 06:30,10998,545
2017-08-24 07:30,10974,3089
2017-08-24 08:30,11988,1915
2017-08-24 09:30,14785,1486
2017-08-24 10:30,15981,1500
2017-08-24 11:30,12988,2151
2017-08-24 12:30,1000,0
2017-08-24 13:30,0,0
2017-08-24 14:30,0,0
2017-08-24 15:30,0,0
2017-08-24 16:30,0,0
2017-08-24 17:30,0,0
