hours	outs	dppm
2017-08-23 06:30	9312	7673
2017-08-23 07:30	10307	3866
2017-08-23 08:30	11322	4922
2017-08-23 09:30	12770	2188
2017-08-23 10:30	10168	4991
2017-08-23 11:30	12541	3655
2017-08-23 12:30	9819	1221
2017-08-23 13:30	10644	4303
2017-08-23 14:30	11319	3609
2017-08-23 15:30	11678	4942
2017-08-23 16:30	0	0
2017-08-23 17:30	0	0
