hours	outs	dppm
2017-08-23 06:30	12998	692
2017-08-23 07:30	13986	1499
2017-08-23 08:30	12993	692
2017-08-23 09:30	10989	1726
2017-08-23 10:30	10996	818
2017-08-23 11:30	6995	1285
2017-08-23 12:30	0	0
2017-08-23 13:30	0	0
2017-08-23 14:30	0	0
2017-08-23 15:30	0	0
2017-08-23 16:30	0	0
2017-08-23 17:30	0	0
