hours	outs	dppm
06:30	10885	0
07:30	13979	1785
08:30	11992	667
09:30	11977	501
10:30	12970	308
11:30	11959	1002
12:30	13427	2303
13:30	12393	565
14:30	11969	1918
15:30	5995	833
16:30	0	0
17:30	0	0
