hours	outs	dppm
06:30	10233	0
07:30	13180	152
08:30	13133	304
09:30	10923	549
10:30	8286	1085
11:30	8533	1054
12:30	9349	0
13:30	8876	0
14:30	11326	618
15:30	12797	234
16:30	10905	825
17:30	1463	0
