process_id	totalOuts
DAMAGE	151654
POLY	154476
BSGDEP	152912
NTM	144672
NOXE	138138
NOXE	138138
NDEP	139007
PTM	137232
TOXE	134054
CLEANTEX	138845
PDRIVE	148596
ARC_BARC	145988
PBA	148194
LCM	146594
SEED	143094
FGA	141620
PLM	145820
EDG_CTR	141563
PLATING	141242
ETCHBK	150329
HST	149795
TEST	148944
