hours	outs	dppm
06:30	10290	680
07:30	12271	1708
08:30	9482	2210
09:30	8349	2271
10:30	8740	572
11:30	10697	467
12:30	11401	438
13:30	10917	92
14:30	11392	614
15:30	5457	549
16:30	0	0
17:30	0	0
