process_id,totalOuts
DAMAGE,84667
POLY,80570
BSGDEP,75070
NTM,76309
NOXE,68264
NDEP,68751
PTM,60264
TOXE,71769
CLEANTEX,72721
PDRIVE,79410
ARC_BARC,79475
PBA,76739
LCM,75611
SEED,75612
FGA,68293
PLM,61122
EDG_CTR,75406
PLATING,86580
ETCHBK,78211
HST,79875
TEST,74674
