process_id,totalOuts
DAMAGE,83160
POLY,96437
BSGDEP,100364
NTM,93203
NOXE,94106
NOXE,94106
NDEP,89994
PTM,88862
TOXE,86275
CLEANTEX,75088
PDRIVE,63068
ARC_BARC,63442
PBA,58003
LCM,54967
SEED,56458
FGA,62339
PLM,59139
EDG_CTR,82778
PLATING,76375
ETCHBK,74878
HST,71976
TEST,69167
