process_id	totalOuts
DAMAGE	71934
POLY	65683
BSGDEP	70712
NTM	70618
NOXE	71942
NOXE	71942
NDEP	74808
PTM	76218
TOXE	71571
CLEANTEX	71643
PDRIVE	73023
ARC_BARC	72220
PBA	68615
LCM	68912
SEED	65932
FGA	68689
PLM	63402
EDG_CTR	69018
PLATING	58805
ETCHBK	64815
HST	70531
TEST	69223
